Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5,Temperature,Polarization Resistance
Ba,Pr,Bi,Co,Bi,0,0,1,1,0,1.39,0.5490625,0.85,0,0.54,0.5490625,1.0890625,2.531587934,0.983494593,0.611510791,0,0.780487805,-31.875,-25,-30,0,-1.875,-25,-26.875,1.275,0.075,0.941176471,0,1.11627907,2.625,3,1.875,0,0.75,3,3.75,0.875,0.25,0.714285714,0,0.5,1139.375,1802.9375,745.625,0,393.75,1802.9375,2196.6875,0.631954796,0.218393594,0.654415798,0,0.33943153,2956.25,3146.375,2335.625,0,620.625,3146.375,3767,0.939573319,0.197250804,0.790063425,0,0.620022564,119.6734188,56.4240375,86.81591875,0,32.8575,56.4240375,89.2815375,2.120965178,0.582331599,0.725440283,0,0.972383778,4.8275,8.066375,3.84125,0,0.98625,8.066375,9.052625,0.598472052,0.122266817,0.795701709,0,0.424324436,542.5,762.4375,336.25,0,206.25,762.4375,968.6875,0.711533732,0.270513977,0.619815668,0,0.347119169,1.04375,1.839375,0.6875,0,0.35625,1.839375,2.195625,0.567448182,0.193679918,0.658682635,0,0.313122687,2372.5,1633.5625,1450,0,922.5,1633.5625,2556.0625,1.452347247,0.564716685,0.611169652,0,0.567278774,-671.896,-275.856625,-482.629375,0,-189.266625,-275.856625,-465.12325,2.435671066,0.686105055,0.718309642,0,1.037637605,1.012193257,0.3921875,256.5164062,0.1875,0.012193257,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,1.3024
Ba,Sr,Co,Fe,X,0,0,1,1,0,1.525,0.5459375,0,0,1.525,0.5459375,2.0709375,2.793360046,2.793360046,0,0,0,-9.5,-55,0,0,-9.5,-55,-64.5,0.172727273,0.172727273,0,0,0,2,3,0,0,2,3,5,0.666666667,0.666666667,0,0,0,1025,1776.0625,0,0,1025,1776.0625,2801.0625,0.57711933,0.57711933,0,0,0,1899,3187.625,0,0,1899,3187.625,5086.625,0.595741343,0.595741343,0,0,0,112.4735,58.3541625,0,0,112.4735,58.3541625,170.8276625,1.927428913,1.927428913,0,0,0,3.07,8.707625,0,0,3.07,8.707625,11.777625,0.352564563,0.352564563,0,0,0,526.5,760.5625,0,0,526.5,760.5625,1287.0625,0.692250801,0.692250801,0,0,0,0.92,1.870625,0,0,0.92,1.870625,2.790625,0.491814233,0.491814233,0,0,0,2190,1765.4375,0,0,2190,1765.4375,3955.4375,1.240485715,1.240485715,0,0,0,-486.361,-210.765375,0,0,-486.361,-210.765375,-697.126375,2.307594404,2.307594404,0,0,0,1.062874494,0.389955357,239.823791,0.5,0.062874494,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,0.07824
Pr,Ba,Co,X,X,0,0,1,1,0,1.465,0.545,0.66,0,0.805,0.545,1.35,2.688073394,1.47706422,0.450511945,0,0.488888889,-32,-64,-25,0,-7,-64,-71,0.5,0.109375,0.78125,0,0.352112676,2.5,3,1.5,0,1,3,4,0.833333333,0.333333333,0.6,0,0.375,1102,1768,602,0,500,1768,2268,0.623303167,0.28280543,0.546279492,0,0.265432099,2853,3200,1781.5,0,1071.5,3200,4271.5,0.8915625,0.33484375,0.624430424,0,0.417066604,139.117325,58.9332,70.453825,0,68.6635,58.9332,127.5967,2.360593435,1.165107274,0.506434587,0,0.552160244,5.075,8.9,3.32,0,1.755,8.9,10.655,0.570224719,0.197191011,0.654187192,0,0.311590802,515,760,263.5,0,251.5,760,1011.5,0.677631579,0.330921053,0.511650485,0,0.260504202,1.01,1.88,0.565,0,0.445,1.88,2.325,0.537234043,0.236702128,0.559405941,0,0.243010753,2210,1805,1250,0,960,1805,2765,1.224376731,0.531855956,0.56561086,0,0.452079566,-623.504,-191.238,-389.4985,0,-234.0055,-191.238,-425.2435,3.260356205,1.223634947,0.624692865,0,0.915942278,1.041573742,0.389285714,275.3620305,0.25,0.041573742,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,0.14214
Sm,Sr,Co,X,X,0,0,1,1,0,1.36,0.545,0.64,0,0.72,0.545,1.265,2.495412844,1.321100917,0.470588235,0,0.505928854,-27.5,-64,-25,0,-2.5,-64,-66.5,0.4296875,0.0390625,0.909090909,0,0.37593985,2.5,3,1.5,0,1,3,4,0.833333333,0.333333333,0.6,0,0.375,1197.5,1768,672.5,0,525,1768,2293,0.677319005,0.296945701,0.561586639,0,0.293283908,1865.5,3200,1038,0,827.5,3200,4027.5,0.58296875,0.25859375,0.556419191,0,0.257728119,118.99,58.9332,75.18,0,43.81,58.9332,102.7432,2.019065654,0.743384035,0.6318178,0,0.731727258,4.9915,8.9,3.6765,0,1.315,8.9,10.215,0.560842697,0.147752809,0.736552139,0,0.359911894,547.5,760,272.5,0,275,760,1035,0.720394737,0.361842105,0.497716895,0,0.263285024,1.06,1.88,0.585,0,0.475,1.88,2.355,0.563829787,0.252659574,0.551886792,0,0.248407643,2405,1805,1175,0,1230,1805,3035,1.332409972,0.681440443,0.488565489,0,0.387149918,-644.4575,-191.238,-392.102,0,-252.3555,-191.238,-443.5935,3.369923865,1.31958868,0.608421812,0,0.883921879,1.003400882,0.389285714,262.4156097,0.25,0.003400882,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,0.34835
Ba,Co,Fe,Zr,Y,1,0,0,0.75,0.25,1.61,0.613125,0,0.2025,1.61,0.410625,2.020625,2.625891947,3.920852359,0,0.330275229,0.100216517,-14,-38.875,0,-8.875,-14,-30,-44,0.360128617,0.466666667,0,0.22829582,0.201704545,2,3.125,0,0.875,2,2.25,4.25,0.64,0.888888889,0,0.28,0.205882353,1000,1833,0,490.875,1000,1342.125,2342.125,0.545553737,0.745087082,0,0.267798691,0.209585312,2143,3412.75,0,1037.5,2143,2375.25,4518.25,0.627939345,0.902220819,0,0.304007032,0.229624301,137.327,65.55805625,0,22.51623125,137.327,43.041825,180.368825,2.094738738,3.190547799,0,0.343454833,0.124834384,3.51,7.663125,0,1.372875,3.51,6.29025,9.80025,0.45803768,0.558006439,0,0.179153413,0.140085712,503,726.125,0,155,503,571.125,1074.125,0.692718196,0.880717881,0,0.21346187,0.144303503,0.89,1.71,0,0.31875,0.89,1.39125,2.28125,0.520467836,0.639712489,0,0.186403509,0.139726027,1920,1947.625,0,673,1920,1274.625,3194.625,0.985816058,1.50632539,0,0.345549066,0.210666354,-468.011,-402.221125,0,-219.737875,-468.011,-182.48325,-650.49425,1.163566434,2.564679224,0,0.546311124,0.33780141,1.057257454,0.437946429,252.5132825,0.4375,0.057257454,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,0.28505
Pr,Ba,Sr,Co,Fe,0,0,1,1,0,1.4225,0.54625,0.66,0,0.7625,0.54625,1.30875,2.604118993,1.395881007,0.46397188,0,0.504297994,-29.75,-52,-25,0,-4.75,-52,-56.75,0.572115385,0.091346154,0.840336134,0,0.440528634,2.5,3,1.5,0,1,3,4,0.833333333,0.333333333,0.6,0,0.375,1114.5,1778.75,602,0,512.5,1778.75,2291.25,0.626563598,0.288123682,0.540152535,0,0.26273868,2731,3183.5,1781.5,0,949.5,3183.5,4133,0.857860845,0.298256636,0.652325156,0,0.431042826,126.690575,58.16115,70.453825,0,56.23675,58.16115,114.3979,2.178268054,0.966912621,0.556109442,0,0.615866419,4.855,8.6435,3.32,0,1.535,8.6435,10.1785,0.561693758,0.177590097,0.683831102,0,0.326177728,526.75,760.75,263.5,0,263.25,760.75,1024,0.692408807,0.346040092,0.500237304,0,0.257324219,1.025,1.8675,0.565,0,0.46,1.8675,2.3275,0.548862115,0.246318608,0.551219512,0,0.242749731,2345,1752.25,1250,0,1095,1752.25,2847.25,1.338279355,0.624910829,0.533049041,0,0.439020107,-632.679,-217.2745,-389.4985,0,-243.1805,-217.2745,-460.455,2.911887957,1.119231663,0.615633678,0,0.845899165,1.025463784,0.390178571,264.1522047,0.25,0.025463784,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,0.056
Pr,Ba,Ca,Co,X,0,0,1,1,0,1.43125,0.545,0.66,0,0.77125,0.545,1.31625,2.626146789,1.415137615,0.461135371,0,0.501424501,-30.5,-64,-25,0,-5.5,-64,-69.5,0.4765625,0.0859375,0.819672131,0,0.35971223,2.5,3,1.5,0,1,3,4,0.833333333,0.333333333,0.6,0,0.375,1116.375,1768,602,0,514.375,1768,2282.375,0.631433824,0.290936086,0.539245325,0,0.263760337,2804.75,3200,1781.5,0,1023.25,3200,4223.25,0.876484375,0.319765625,0.635172475,0,0.421831528,126.9612,58.9332,70.453825,0,56.507375,58.9332,115.440575,2.154323879,0.958837718,0.554924063,0,0.610303829,4.83,8.9,3.32,0,1.51,8.9,10.41,0.542696629,0.169662921,0.6873706,0,0.318924111,525.875,760,263.5,0,262.375,760,1022.375,0.691940789,0.345230263,0.501069646,0,0.257733219,1.02375,1.88,0.565,0,0.45875,1.88,2.33875,0.544547872,0.244015957,0.551892552,0,0.241582042,2296.875,1805,1250,0,1046.875,1805,2851.875,1.272506925,0.57998615,0.544217687,0,0.438308131,-632.947375,-191.238,-389.4985,0,-243.448875,-191.238,-434.686875,3.309736428,1.27301517,0.615372645,0,0.896043848,1.029303894,0.389285714,264.8259145,0.25,0.029303894,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998855377,0.16
Sr,Pr,Bi,Co,Sb,0,1,0,0.8125,0.1875,1.44,0.5553125,0,0.1125,1.44,0.4428125,1.8828125,2.593134496,3.25194072,0,0.202588633,0.059751037,-5,-71.3125,0,-19.3125,-5,-52,-57,0.070113935,0.096153846,0,0.270815074,0.338815789,2,3.375,0,0.9375,2,2.4375,4.4375,0.592592593,0.820512821,0,0.277777778,0.211267606,1050,1606,0,169.5,1050,1436.5,2486.5,0.653798257,0.730943265,0,0.105541719,0.068168108,1655,2948.75,0,348.75,1655,2600,4255,0.561254769,0.636538462,0,0.118270454,0.081962397,87.62,70.713225,0,22.83,87.62,47.883225,135.503225,1.239089293,1.829868393,0,0.322853328,0.168483075,2.63,8.4869375,0,1.2556875,2.63,7.23125,9.86125,0.30988799,0.363699222,0,0.147955314,0.12733553,550,773.875,0,156.375,550,617.5,1167.5,0.710709094,0.890688259,0,0.202067517,0.133940043,0.95,1.911875,0,0.384375,0.95,1.5275,2.4775,0.49689441,0.62193126,0,0.201046093,0.155146317,2460,1589.5625,0,123,2460,1466.5625,3926.5625,1.547595643,1.67739186,0,0.077379782,0.031325109,-504.711,-209.295375,0,-53.9145,-504.711,-155.380875,-660.091875,2.411477081,3.248218289,0,0.257600054,0.081677267,1.027039544,0.396651786,230.7360251,0.3125,0.027039544,1,0,0,0,0,1,0,0,0.165374,-1.66712,2.41155,-0.458364,-2.057997,0.847576651,5.296890763,0.089676189,1.581484559,7.830270061,10.834623,10.834623,7.650116,90,90,90,898.0398921,1.004492235,1.003765187,0.850035538,P4/mmm,15[D4h],123,16,91.676431,-2.178772,0,0,1,0,0,0,0,0,1,0,0,0,0.998855377,0.1
