Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5,Ef
Mo,Mo,Mo,Mo,Mo,0,1,0,0.5,0.5,1.36,0.57,0,0.295,1.36,0.275,1.635,2.385964912,4.945454545,0,0.51754386,0.180428135,-48,-44,0,-36,-48,-8,-56,1.090909091,6,0,0.818181818,0.642857143,3,4.5,0,3,3,1.5,4.5,0.666666667,2,0,0.666666667,0.666666667,1193,2353.5,0,1448,1193,905.5,2098.5,0.50690461,1.317504141,0,0.615253877,0.690016679,3737,4023,0,2456,3737,1567,5304,0.928908775,2.384811742,0,0.610489684,0.463046757,138.90547,75.9025,0,47.98,138.90547,27.9225,166.82797,1.830051316,4.974678843,0,0.632126742,0.287601653,6.146,9.077,0,5.14,6.146,3.937,10.083,0.677095957,1.561087122,0,0.566266388,0.509768918,538,723.5,0,342,538,381.5,919.5,0.743607464,1.410222805,0,0.472702142,0.371941272,1.1,1.995,0,1.08,1.1,0.915,2.015,0.551378446,1.202185792,0,0.541353383,0.535980149,2320,1197,0,400,2320,797,3117,1.93817878,2.910915935,0,0.334168755,0.128328521,-772.207,-409.515,0,-261.823,-772.207,-147.692,-919.899,1.885662308,5.228495789,0,0.639348986,0.284621464,0.990667369,0.407142857,298.4892365,-0.75,0.009332631,1,0,0,0,1,0,0,0,0.461881,-4.935534,2.431973,-4.368364,-4.986087,1.587056432,0.007186622,11.38131528,0.012671955,0.006832347,11.000567,11.000567,7.915369,90,90,90,957.8583879,1.000070928,1.020465091,0.757812119,139,15 [ D4h ],I4/mmm,128,24.47502,-4.762121,0,0,0,0,0,0,0,0,0,0,0,0,-2.495293
Fe,Fe,Fe,Fe,Nb,0,1,0,0.9375,0.0625,1.36,0.555625,0,0.04,1.36,0.515625,1.875625,2.447694038,2.637575758,0,0.071991001,0.021326225,-48,-20.375,0,-5.375,-48,-15,-63,2.355828221,3.2,0,0.263803681,0.08531746,3,3.125,0,0.3125,3,2.8125,5.8125,0.96,1.066666667,0,0.1,0.053763441,1193,1869.6875,0,171.875,1193,1697.8125,2890.8125,0.638074545,0.702668875,0,0.091927127,0.059455603,3737,3251.6875,0,313.5625,3737,2938.125,6675.125,1.149249428,1.271899596,0,0.096430699,0.046974776,138.90547,58.16133625,0,5.80664875,138.90547,52.3546875,191.2601575,2.388278519,2.65316205,0,0.099836921,0.03035995,6.146,7.9175,0,0.535625,6.146,7.381875,13.527875,0.776255131,0.832579798,0,0.067650774,0.039594171,538,756.0625,0,40.75,538,715.3125,1253.3125,0.711581384,0.752118829,0,0.053897661,0.032513838,1.1,1.815625,0,0.1,1.1,1.715625,2.815625,0.605851979,0.641165756,0,0.055077453,0.035516093,2320,1588.75,0,94.375,2320,1494.375,3814.375,1.460267506,1.552488499,0,0.059402046,0.02474193,-772.207,-324.2925625,0,-47.3700625,-772.207,-276.9225,-1049.1295,2.38120478,2.788531087,0,0.146071998,0.045151778,0.997949359,0.396875,281.9168004,-0.0625,0.002050641,1,0,0,0,1,0,0,0,0.581097,-4.827175,2.395291,1.204759,-4.884273,1.78799879,0.008009115,10.97139027,3.335955016,0.007564621,10.847831,10.847831,7.618601,90,90,90,896.5222051,1.004468782,1.016043329,0.815099794,123,15 [ D4h ],P4/mmm,16,48.78281,-5.253931,0,0,0,0,0,0,0,0,0,0,0,0,-2.421593
Fe,Fe,Fe,Nb,Nb,0,1,0,0.875,0.125,1.36,0.56125,0,0.08,1.36,0.48125,1.84125,2.423162584,2.825974026,0,0.142538976,0.043448744,-48,-24.75,0,-10.75,-48,-14,-62,1.939393939,3.428571429,0,0.434343434,0.173387097,3,3.25,0,0.625,3,2.625,5.625,0.923076923,1.142857143,0,0.192307692,0.111111111,1193,1928.375,0,343.75,1193,1584.625,2777.625,0.618655604,0.752859509,0,0.178258897,0.123756807,3737,3369.375,0,627.125,3737,2742.25,6479.25,1.109107772,1.362749567,0,0.186125023,0.096789752,138.90547,60.4776725,0,11.6132975,138.90547,48.864375,187.769845,2.296805817,2.842673625,0,0.192026198,0.061848576,6.146,7.961,0,1.07125,6.146,6.88975,13.03575,0.772013566,0.892049784,0,0.134562241,0.082177857,538,749.125,0,81.5,538,667.625,1205.625,0.7181712,0.805841603,0,0.108793593,0.067599793,1.1,1.80125,0,0.2,1.1,1.60125,2.70125,0.610687023,0.68696331,0,0.111034004,0.074039796,2320,1583.5,0,188.75,2320,1394.75,3714.75,1.465108936,1.663380534,0,0.119197979,0.050810956,-772.207,-353.201125,0,-94.740125,-772.207,-258.461,-1030.668,2.186309571,2.987711879,0,0.268232795,0.091921089,0.995087172,0.400892857,283.1517896,-0.125,0.004912828,1,0,0,0,1,0,0,0,0.535248,-5.021985,2.692575,0.603429,-4.971399,1.707871742,0.00659143,14.76965887,1.82837757,0.006933441,10.883198,10.883198,7.662307,90,90,90,907.5542804,0.999586619,1.013396915,0.80442368,139,15 [ D4h ],I4/mmm,32,48.001402,-5.377563,0,0,0,0,0,0,0,0,0,0,0,0,-2.512631
Fe,Fe,Nb,Nb,Nb,0,1,0,0.8125,0.1875,1.36,0.566875,0,0.12,1.36,0.446875,1.806875,2.399117971,3.043356643,0,0.21168688,0.066413006,-48,-29.125,0,-16.125,-48,-13,-61,1.64806867,3.692307692,0,0.553648069,0.264344262,3,3.375,0,0.9375,3,2.4375,5.4375,0.888888889,1.230769231,0,0.277777778,0.172413793,1193,1987.0625,0,515.625,1193,1471.4375,2664.4375,0.600383732,0.810771779,0,0.259491083,0.193521147,3737,3487.0625,0,940.6875,3737,2546.375,6283.375,1.071675658,1.467576457,0,0.269765024,0.149710546,138.90547,62.79400875,0,17.41994625,138.90547,45.3740625,184.2795325,2.212081579,3.061340827,0,0.277414145,0.094530011,6.146,8.0045,0,1.606875,6.146,6.397625,12.543625,0.767818102,0.960668998,0,0.200746455,0.128102921,538,742.1875,0,122.25,538,619.9375,1157.9375,0.724884211,0.867829418,0,0.164715789,0.105575646,1.1,1.786875,0,0.3,1.1,1.486875,2.586875,0.61559986,0.739806641,0,0.167890871,0.115970041,2320,1578.25,0,283.125,2320,1295.125,3615.125,1.469982576,1.791332883,0,0.179391731,0.078316794,-772.207,-382.1096875,0,-142.1101875,-772.207,-239.9995,-1012.2065,2.020904011,3.21753587,0,0.371909408,0.140396438,0.992241355,0.404910714,284.381538,-0.1875,0.007758645,1,0,0,0,1,0,0,0,0.501767,-5.156184,1.372591,2.070072,-5.050918,1.651637137,0.005763652,3.94556041,7.925393726,0.006403452,10.92817,10.92817,7.72913,90,90,90,923.0505739,1.009526874,1.006702642,0.790163903,123,15 [ D4h ],P4/mmm,16,46.875884,-5.45333,0,0,0,0,0,0,0,0,0,0,0,0,-2.591303
Fe,Nb,Nb,Nb,Nb,0,1,0,0.75,0.25,1.36,0.5725,0,0.16,1.36,0.4125,1.7725,2.375545852,3.296969697,0,0.279475983,0.090267983,-48,-33.5,0,-21.5,-48,-12,-60,1.432835821,4,0,0.641791045,0.358333333,3,3.5,0,1.25,3,2.25,5.25,0.857142857,1.333333333,0,0.357142857,0.238095238,1193,2045.75,0,687.5,1193,1358.25,2551.25,0.58316021,0.878336094,0,0.336062569,0.269475747,3737,3604.75,0,1254.25,3737,2350.5,6087.5,1.036687704,1.589874495,0,0.347943685,0.206036961,138.90547,65.110345,0,23.226595,138.90547,41.88375,180.78922,2.133385563,3.316452562,0,0.356726646,0.12847334,6.146,8.048,0,2.1425,6.146,5.9055,12.0515,0.763667992,1.040724748,0,0.266215209,0.1777787,538,735.25,0,163,538,572.25,1110.25,0.731723903,0.940148536,0,0.221693302,0.146813781,1.1,1.7725,0,0.4,1.1,1.3725,2.4725,0.620592384,0.801457195,0,0.225669958,0.161779575,2320,1573,0,377.5,2320,1195.5,3515.5,1.474888748,1.940610623,0,0.239987285,0.107381596,-772.207,-411.01825,0,-189.48025,-772.207,-221.538,-993.745,1.878765724,3.485663859,0,0.461002036,0.190672909,0.98941177,0.408928571,285.6061098,-0.25,0.01058823,1,0,0,0,1,0,0,0,0.480548,-5.282345,0.481223,1.482726,-5.207898,1.616960254,0.005080503,1.61805207,4.404937188,0.005473166,10.972469,10.972469,7.757819,90,90,90,934.0032078,1.016221398,1.017785615,0.780151854,139,15 [ D4h ],I4/mmm,64,44.152143,-5.508905,0,0,0,0,0,0,0,0,0,0,0,0,-2.657712
Nb,Nb,Nb,Nb,Nb,0,1,0,0.6875,0.3125,1.36,0.578125,0,0.2,1.36,0.378125,1.738125,2.352432432,3.596694215,0,0.345945946,0.115066523,-48,-37.875,0,-26.875,-48,-11,-59,1.267326733,4.363636364,0,0.709570957,0.455508475,3,3.625,0,1.5625,3,2.0625,5.0625,0.827586207,1.454545455,0,0.431034483,0.308641975,1193,2104.4375,0,859.375,1193,1245.0625,2438.0625,0.56689733,0.95818483,0,0.40836328,0.35248276,3737,3722.4375,0,1567.8125,3737,2154.625,5891.625,1.003912087,1.73440854,0,0.421178999,0.266108671,138.90547,67.42668125,0,29.03324375,138.90547,38.3934375,177.2989075,2.060096499,3.61794825,0,0.430589838,0.163753089,6.146,8.0915,0,2.678125,6.146,5.413375,11.559375,0.759562504,1.135336089,0,0.330980041,0.231684239,538,728.3125,0,203.75,538,524.5625,1062.5625,0.738693899,1.025616585,0,0.279756286,0.191753426,1.1,1.758125,0,0.5,1.1,1.258125,2.358125,0.625666548,0.87431694,0,0.284393886,0.212032865,2320,1567.75,0,471.875,2320,1095.875,3415.875,1.479827779,2.117029771,0,0.300988678,0.138141765,-772.207,-439.9268125,0,-236.8503125,-772.207,-203.0765,-975.2835,1.755307879,3.802542392,0,0.538385717,0.242852783,0.986598277,0.412946429,286.8255677,-0.3125,0.013401723,1,0,0,0,1,0,0,0,0.445213,-5.326827,3.892682,0.641788,-5.114122,1.560822616,0.004859465,49.04224159,1.89987482,0.006011253,11.010156,11.010156,7.85251,90,90,90,951.909022,1.002192003,1.005151298,0.764744747,123,15 [ D4h ],P4/mmm,16,45.901562,-5.43518,0,0,0,0,0,0,0,0,0,0,0,0,-2.738236
Nb,Nb,Nb,Nb,Nb,0,1,0,0.625,0.375,1.36,0.58375,0,0.24,1.36,0.34375,1.70375,2.329764454,3.956363636,0,0.411134904,0.140865737,-48,-42.25,0,-32.25,-48,-10,-58,1.136094675,4.8,0,0.763313609,0.556034483,3,3.75,0,1.875,3,1.875,4.875,0.8,1.6,0,0.5,0.384615385,1193,2163.125,0,1031.25,1193,1131.875,2324.875,0.551516903,1.054003313,0,0.476740826,0.443572235,3737,3840.125,0,1881.375,3737,1958.75,5695.75,0.973145405,1.907849394,0,0.489925458,0.330312075,138.90547,69.7430175,0,34.8398925,138.90547,34.903125,173.808595,1.991675654,3.979743075,0,0.499546675,0.200449768,6.146,8.135,0,3.21375,6.146,4.92125,11.06725,0.755500922,1.248869698,0,0.395052243,0.29038379,538,721.375,0,244.5,538,476.875,1014.875,0.745797955,1.128178244,0,0.33893606,0.240916369,1.1,1.74375,0,0.6,1.1,1.14375,2.24375,0.630824373,0.961748634,0,0.344086022,0.267409471,2320,1562.5,0,566.25,2320,996.25,3316.25,1.4848,2.328732748,0,0.3624,0.170750094,-772.207,-468.835375,0,-284.220375,-772.207,-184.615,-956.822,1.647074946,4.182796631,0,0.606226386,0.297046237,0.983800739,0.416964286,288.0399735,-0.375,0.016199261,1,0,0,0,1,0,0,0,0.407464,-5.436946,2.851398,-0.007079,-5.097864,1.503001337,0.004352756,17.31196706,0.992945997,0.006109783,11.08551776,11.08551776,7.815493,90,90,89.74391118,960.4310374,1.006217684,1.018924258,0.757233457,63,8 [ D2h ],Cmcm,8,50.497593,-5.426491,0,0,0,0,0,0,0,0,0,0,0,0,-2.815556
Nb,Nb,Nb,Nb,Nb,0,1,0,0.5625,0.4375,1.36,0.589375,0,0.28,1.36,0.309375,1.669375,2.307529162,4.395959596,0,0.475079533,0.167727443,-48,-46.625,0,-37.625,-48,-9,-57,1.029490617,5.333333333,0,0.806970509,0.660087719,3,3.875,0,2.1875,3,1.6875,4.6875,0.774193548,1.777777778,0,0.564516129,0.466666667,1193,2221.8125,0,1203.125,1193,1018.6875,2211.6875,0.536949,1.171114792,0,0.54150609,0.543985079,3737,3957.8125,0,2194.9375,3737,1762.875,5499.875,0.944208448,2.11983266,0,0.554583498,0.399088616,138.90547,72.05935375,0,40.64654125,138.90547,31.4128125,170.3182825,1.927653563,4.42193675,0,0.564070299,0.238650488,6.146,8.1785,0,3.749375,6.146,4.429125,10.575125,0.751482546,1.387632997,0,0.458442868,0.354546637,538,714.4375,0,285.25,538,429.1875,967.1875,0.753039979,1.253531382,0,0.399265156,0.294927302,1.1,1.729375,0,0.7,1.1,1.029375,2.129375,0.636067944,1.068609593,0,0.40477051,0.328734957,2320,1557.25,0,660.625,2320,896.625,3216.625,1.489805747,2.587480831,0,0.424225397,0.205378308,-772.207,-497.7439375,0,-331.5904375,-772.207,-166.1535,-938.3605,1.551414175,4.647551812,0,0.666186793,0.353372118,0.981019022,0.420982143,289.2493876,-0.4375,0.018980978,1,0,0,0,1,0,0,0,0.437971,-5.681524,2.328415,0.333072,-5.360578,1.54955997,0.00340836,10.2616639,1.395247753,0.00469819,11.109666,11.109666,7.834187,90,90,90,966.9320128,1.003769187,1.01561001,0.751421604,123,15 [ D4h ],P4/mmm,16,40.101239,-5.755468,0,0,0,0,0,0,0,0,0,0,0,0,-2.821808
Nb,Nb,Nb,Nb,Nb,0,1,0,0.5,0.5,1.36,0.595,0,0.32,1.36,0.275,1.635,2.285714286,4.945454545,0,0.537815126,0.195718654,-48,-51,0,-43,-48,-8,-56,0.941176471,6,0,0.843137255,0.767857143,3,4,0,2.5,3,1.5,4.5,0.75,2,0,0.625,0.555555556,1193,2280.5,0,1375,1193,905.5,2098.5,0.523130892,1.317504141,0,0.602937952,0.655229926,3737,4075.5,0,2508.5,3737,1567,5304,0.916942706,2.384811742,0,0.6155073,0.472944947,138.90547,74.37569,0,46.45319,138.90547,27.9225,166.82797,1.867619245,4.974678843,0,0.624574912,0.278449651,6.146,8.222,0,4.285,6.146,3.937,10.083,0.747506689,1.561087122,0,0.521162734,0.424972726,538,707.5,0,326,538,381.5,919.5,0.760424028,1.410222805,0,0.460777385,0.354540511,1.1,1.715,0,0.8,1.1,0.915,2.015,0.641399417,1.202185792,0,0.466472303,0.397022333,2320,1552,0,755,2320,797,3117,1.494845361,2.910915935,0,0.486469072,0.242220083,-772.207,-526.6525,0,-378.9605,-772.207,-147.692,-919.899,1.466255263,5.228495789,0,0.719564609,0.411958813,0.978252991,0.425,290.4538694,-0.5,0.021747009,1,0,0,0,1,0,0,0,0.47317,-5.810362,1.759378,0.0712,-5.617245,1.605074222,0.002996345,5.808823182,1.073795964,0.003634641,11.12897,11.12897,7.845583,90,90,90,971.7066271,1.007184061,1.022183326,0.747012189,139,15 [ D4h ],I4/mmm,128,35.34293,-5.777949,0,0,0,0,0,0,0,0,0,0,0,0,-2.823368
Fe,Fe,Fe,Fe,Nd,0,1,0,1,0,1.357058824,0.55,0,0,1.357058824,0.55,1.907058824,2.467379679,2.467379679,0,0,0,-48.11764706,-16,0,0,-48.11764706,-16,-64.11764706,3.007352941,3.007352941,0,0,0,3,3,0,0,3,3,6,1,1,0,0,0,1198.941176,1811,0,0,1198.941176,1811,3009.941176,0.662032676,0.662032676,0,0,0,3715.588235,3134,0,0,3715.588235,3134,6849.588235,1.185573783,1.185573783,0,0,0,139.2193835,55.845,0,0,139.2193835,55.845,195.0643835,2.492960579,2.492960579,0,0,0,6.196823529,7.874,0,0,6.196823529,7.874,14.07082353,0.786998162,0.786998162,0,0,0,537.7058824,763,0,0,537.7058824,763,1300.705882,0.704725927,0.704725927,0,0,0,1.102352941,1.83,0,0,1.102352941,1.83,2.932352941,0.602378656,0.602378656,0,0,0,2317.176471,1594,0,0,2317.176471,1594,3911.176471,1.453686619,1.453686619,0,0,0,-772.6644118,-295.384,0,0,-772.6644118,-295.384,-1068.048412,2.615796427,2.615796427,0,0,0,0.999761533,0.392857143,281.3438514,0,0.000238467,1,0,0,0,1,0,0,0,0.656182,-4.405573,0.367254,2.285734,-4.735811,1.927419381,0.012209109,1.443764589,9.832900925,0.008775329,10.929777,10.929777,7.611277,90,90,90,909.2433428,0.993419545,1.013167782,0.814052532,123,15 [ D4h ],P4/mmm,16,47.238483,-4.937303,0,0,0,0,0,0,0,0,0,0,0,0,-2.356288
Fe,Fe,Fe,Nd,Nd,0,1,0,1,0,1.354444444,0.55,0,0,1.354444444,0.55,1.904444444,2.462626263,2.462626263,0,0,0,-48.22222222,-16,0,0,-48.22222222,-16,-64.22222222,3.013888889,3.013888889,0,0,0,3,3,0,0,3,3,6,1,1,0,0,0,1204.222222,1811,0,0,1204.222222,1811,3015.222222,0.66494877,0.66494877,0,0,0,3696.555556,3134,0,0,3696.555556,3134,6830.555556,1.179500815,1.179500815,0,0,0,139.4984178,55.845,0,0,139.4984178,55.845,195.3434178,2.497957163,2.497957163,0,0,0,6.242,7.874,0,0,6.242,7.874,14.116,0.792735585,0.792735585,0,0,0,537.4444444,763,0,0,537.4444444,763,1300.444444,0.704383282,0.704383282,0,0,0,1.104444444,1.83,0,0,1.104444444,1.83,2.934444444,0.603521554,0.603521554,0,0,0,2314.666667,1594,0,0,2314.666667,1594,3908.666667,1.452112087,1.452112087,0,0,0,-773.071,-295.384,0,0,-773.071,-295.384,-1068.455,2.6171729,2.6171729,0,0,0,0.99881351,0.392857143,281.9385411,0,0.00118649,1,0,0,0,1,0,0,0,0.676203,-4.276789,0.707029,0.715109,-4.695617,1.966397129,0.013887182,2.027957239,2.044409511,0.009135229,10.847463,10.847463,7.906745,90,90,90,930.3665499,1.002066922,1.021661738,0.804942651,139,15 [ D4h ],I4/mmm,32,44.5407,-4.83206,0,0,0,0,0,0,0,0,0,0,0,0,-2.391237
Fe,Fe,Nd,Nd,Nd,0,1,0,1,0,1.352105263,0.55,0,0,1.352105263,0.55,1.902105263,2.458373206,2.458373206,0,0,0,-48.31578947,-16,0,0,-48.31578947,-16,-64.31578947,3.019736842,3.019736842,0,0,0,3,3,0,0,3,3,6,1,1,0,0,0,1208.947368,1811,0,0,1208.947368,1811,3019.947368,0.667557906,0.667557906,0,0,0,3679.526316,3134,0,0,3679.526316,3134,6813.526316,1.174067108,1.174067108,0,0,0,139.74808,55.845,0,0,139.74808,55.845,195.59308,2.502427791,2.502427791,0,0,0,6.282421053,7.874,0,0,6.282421053,7.874,14.15642105,0.797869069,0.797869069,0,0,0,537.2105263,763,0,0,537.2105263,763,1300.210526,0.704076706,0.704076706,0,0,0,1.106315789,1.83,0,0,1.106315789,1.83,2.936315789,0.604544147,0.604544147,0,0,0,2312.421053,1594,0,0,2312.421053,1594,3906.421053,1.450703295,1.450703295,0,0,0,-773.4347895,-295.384,0,0,-773.4347895,-295.384,-1068.818789,2.618404482,2.618404482,0,0,0,0.997965279,0.392857143,282.4718284,0,0.002034721,1,0,0,0,1,0,0,0,0.717771,-4.366432,-3.893674,-4.907079,-4.884506,2.049858979,0.012696461,0.020370368,0.007394055,0.007562859,10.985719,10.985719,7.92498,90,90,90,956.4343102,1.010335628,1.029755682,0.792120882,123,15 [ D4h ],P4/mmm,16,41.028946,-4.93762,0,0,0,0,0,0,0,0,0,0,0,0,-2.404638
Fe,Nd,Nd,Nd,Nd,0,1,0,1,0,1.35,0.55,0,0,1.35,0.55,1.9,2.454545455,2.454545455,0,0,0,-48.4,-16,0,0,-48.4,-16,-64.4,3.025,3.025,0,0,0,3,3,0,0,3,3,6,1,1,0,0,0,1213.2,1811,0,0,1213.2,1811,3024.2,0.669906129,0.669906129,0,0,0,3664.2,3134,0,0,3664.2,3134,6798.2,1.169176771,1.169176771,0,0,0,139.972776,55.845,0,0,139.972776,55.845,195.817776,2.506451356,2.506451356,0,0,0,6.3188,7.874,0,0,6.3188,7.874,14.1928,0.802489205,0.802489205,0,0,0,537,763,0,0,537,763,1300,0.703800786,0.703800786,0,0,0,1.108,1.83,0,0,1.108,1.83,2.938,0.605464481,0.605464481,0,0,0,2310.4,1594,0,0,2310.4,1594,3904.4,1.449435383,1.449435383,0,0,0,-773.7622,-295.384,0,0,-773.7622,-295.384,-1069.1462,2.619512905,2.619512905,0,0,0,0.997201871,0.392857143,282.9527572,0,0.002798129,1,0,0,0,1,0,0,0,0.771213,-4.182872,-6.895346,-1.818772,-4.919071,2.16238764,0.015254633,0.001012487,0.162224841,0.007305915,11.177184,11.177184,7.835367,90,90,90,978.8680285,1.020797809,1.048817603,0.782875156,139,15 [ D4h ],I4/mmm,64,37.285423,-4.773818,0,0,0,0,0,0,0,0,0,0,0,0,-2.406167
Nd,Nd,Nd,Nd,Nd,0,1,0,1,0,1.348095238,0.55,0,0,1.348095238,0.55,1.898095238,2.451082251,2.451082251,0,0,0,-48.47619048,-16,0,0,-48.47619048,-16,-64.47619048,3.029761905,3.029761905,0,0,0,3,3,0,0,3,3,6,1,1,0,0,0,1217.047619,1811,0,0,1217.047619,1811,3028.047619,0.672030712,0.672030712,0,0,0,3650.333333,3134,0,0,3650.333333,3134,6784.333333,1.16475218,1.16475218,0,0,0,140.1760724,55.845,0,0,140.1760724,55.845,196.0210724,2.510091725,2.510091725,0,0,0,6.351714286,7.874,0,0,6.351714286,7.874,14.22571429,0.806669328,0.806669328,0,0,0,536.8095238,763,0,0,536.8095238,763,1299.809524,0.703551145,0.703551145,0,0,0,1.10952381,1.83,0,0,1.10952381,1.83,2.93952381,0.606297164,0.606297164,0,0,0,2308.571429,1594,0,0,2308.571429,1594,3902.571429,1.448288224,1.448288224,0,0,0,-774.0584286,-295.384,0,0,-774.0584286,-295.384,-1069.442429,2.620515764,2.620515764,0,0,0,0.996511168,0.392857143,283.3886783,0,0.003488832,1,0,0,0,1,0,0,0,0.779952,-4.335678,-7.578407,-5.246212,-5.065756,2.181367557,0.013092994,0.000511375,0.005267434,0.006309139,11.145743,11.145743,8.083559,90,90,90,1004.201029,1.041241715,1.046674886,0.77180894,123,15 [ D4h ],P4/mmm,16,36.618275,-4.97874,0,0,0,0,0,0,0,0,0,0,0,0,-2.452398
Nd,Nd,Nd,Nd,Nd,0,1,0,1,0,1.346363636,0.55,0,0,1.346363636,0.55,1.896363636,2.447933884,2.447933884,0,0,0,-48.54545455,-16,0,0,-48.54545455,-16,-64.54545455,3.034090909,3.034090909,0,0,0,3,3,0,0,3,3,6,1,1,0,0,0,1220.545455,1811,0,0,1220.545455,1811,3031.545455,0.67396215,0.67396215,0,0,0,3637.727273,3134,0,0,3637.727273,3134,6771.727273,1.160729825,1.160729825,0,0,0,140.3608873,55.845,0,0,140.3608873,55.845,196.2058873,2.513401151,2.513401151,0,0,0,6.381636364,7.874,0,0,6.381636364,7.874,14.25563636,0.810469439,0.810469439,0,0,0,536.6363636,763,0,0,536.6363636,763,1299.636364,0.703324199,0.703324199,0,0,0,1.110909091,1.83,0,0,1.110909091,1.83,2.940909091,0.607054148,0.607054148,0,0,0,2306.909091,1594,0,0,2306.909091,1594,3900.909091,1.447245352,1.447245352,0,0,0,-774.3277273,-295.384,0,0,-774.3277273,-295.384,-1069.711727,2.621427455,2.621427455,0,0,0,0.995883257,0.392857143,283.7856278,0,0.004116743,1,0,0,0,1,0,0,0,0.705999,-3.996873,-8.107179,0.930655,-4.645287,2.025869518,0.018373002,0.000301368,2.536169825,0.009606772,11.39535864,11.39535864,7.957594,90,90,89.78658758,1033.323495,1.025078307,1.035572117,0.758495483,63,8 [ D2h ],Cmcm,8,37.805067,-4.532181,0,0,0,0,0,0,0,0,0,0,0,0,-2.58132
